"","P390_Q501A","P390_Q501B","P390_Q501C","P390_Q501D","P390_Q501E","P390_Q501F","P390_Q501G","P390_Q501H","P390_Q502A","P390_Q502B","P390_Q502C","P390_Q502D","P390_Q502E","P390_Q502F","P390_Q502G","P390_Q502H","P390_Q503A","P390_Q503B","P390_Q503C","P390_Q503D","P390_Q503E","P390_Q503F","P390_Q503G","P390_Q503H","P390_Q504A","P390_Q504B","P390_Q504C","P390_Q504D","P390_Q504E","P390_Q504F","P390_Q504G","P390_Q504H","P390_Q505A","P390_Q505B","P390_Q505C","P390_Q505D","P390_Q505E","P390_Q505F","P390_Q505G","P390_Q505H","P390_Q506A","P390_Q506B","P390_Q506C","P390_Q506D","P390_Q506E","P390_Q506F","P390_Q506G","P390_Q506H","P390_Q507A","P390_Q507B","P390_Q507C","P390_Q507D","P390_Q507E","P390_Q507F","P390_Q507G","P390_Q507H","P390_Q508A","P390_Q508B","P390_Q508C","P390_Q508D","P390_Q508E","P390_Q508F","P390_Q508G","P390_Q508H","P390_Q509A","P390_Q509B","P390_Q509C","P390_Q509D","P390_Q509E","P390_Q509F","P390_Q509G","P390_Q509H","P390_Q510A","P390_Q510B","P390_Q510C","P390_Q510D","P390_Q510E","P390_Q510F","P390_Q510G","P390_Q510H","P390_Q511A","P390_Q511B","P390_Q511C","P390_Q511D","P390_Q511E","P390_Q511F","P390_Q511G","P390_Q511H","P390_Q512A","P390_Q512B","P390_Q512C","P390_Q512D","P390_Q512E","P390_Q512F","P390_Q512G","P390_Q512H"
"EGFP",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ERCC-00002",17428,11623,12375,13278,12129,10928,10544,11344,8850,10152,9264,10011,11717,8352,9032,8779,13823,11507,12791,13906,12318,9822,13711,13567,12072,11465,13160,8225,8675,11151,8631,11417,10231,15225,10263,9680,11569,12841,7749,9895,12429,7833,9889,8861,11958,7279,5920,1770,11218,8739,11004,14640,10080,10747,10323,7169,8127,11593,10635,9155,10221,10936,10175,9055,16139,10328,13337,10037,11486,11426,10750,11381,10343,11240,11911,11388,7503,8992,11281,10397,6521,13024,9137,9803,7563,11894,11990,6294,4647,9997,11767,12317,10709,15395,7744,11373
"ERCC-00003",892,628,528,525,241,400,401,371,367,98,456,875,800,841,1132,189,291,519,1107,658,364,623,1294,187,440,884,894,403,329,1198,272,485,178,660,198,748,2,918,963,793,780,465,911,443,1085,84,40,5,768,593,639,583,897,206,518,109,326,621,913,370,1100,890,915,570,1043,453,743,1356,619,495,400,204,151,470,1166,464,439,885,672,575,324,405,164,971,554,302,1022,561,138,458,561,471,189,740,510,1333
"ERCC-00004",7802,5921,5895,4876,5582,6258,7507,5541,3020,5730,4263,5454,6369,4462,3340,5223,7169,6169,7616,6024,4220,5363,8617,6752,5923,6433,4867,4537,5599,7035,4189,4836,4215,6675,5445,3938,5120,6955,6264,4832,6391,5883,5689,4594,5824,4528,3531,2347,5711,4690,5339,4802,4229,4771,5767,3142,5673,6276,5965,5098,5598,7324,4909,5446,8101,5276,4805,4205,5233,5825,5068,4480,3804,4358,5455,4848,4544,4788,5113,6370,2683,4600,6970,5391,6357,4062,5214,2966,2818,7219,4519,4579,6718,6737,4743,5756
"ERCC-00009",865,372,341,1033,316,414,396,194,303,833,421,1073,284,435,197,152,287,159,726,208,368,955,439,179,234,319,1015,409,324,555,493,559,409,720,640,90,762,542,837,574,840,363,692,813,488,312,421,38,466,735,345,951,173,38,616,201,1151,192,388,533,973,753,831,470,513,333,485,479,512,1159,226,1066,494,268,379,453,250,527,172,371,150,446,471,516,713,356,573,339,332,631,943,553,533,488,760,232
"ERCC-00012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00013",1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
