"","P388_Q701A","P388_Q701B","P388_Q701C","P388_Q701D","P388_Q701E","P388_Q701F","P388_Q701G","P388_Q701H","P388_Q702A","P388_Q702B","P388_Q702C","P388_Q702D","P388_Q702E","P388_Q702F","P388_Q702G","P388_Q702H","P388_Q703A","P388_Q703B","P388_Q703C","P388_Q703D","P388_Q703E","P388_Q703F","P388_Q703G","P388_Q703H","P388_Q704A","P388_Q704B","P388_Q704C","P388_Q704D","P388_Q704E","P388_Q704F","P388_Q704G","P388_Q704H","P388_Q705A","P388_Q705B","P388_Q705C","P388_Q705D","P388_Q705E","P388_Q705F","P388_Q705G","P388_Q705H","P388_Q706A","P388_Q706B","P388_Q706C","P388_Q706D","P388_Q706E","P388_Q706F","P388_Q706G","P388_Q706H","P388_Q707A","P388_Q707B","P388_Q707C","P388_Q707D","P388_Q707E","P388_Q707F","P388_Q707G","P388_Q707H","P388_Q708A","P388_Q708B","P388_Q708C","P388_Q708D","P388_Q708E","P388_Q708F","P388_Q708G","P388_Q708H","P388_Q709A","P388_Q709B","P388_Q709C","P388_Q709D","P388_Q709E","P388_Q709F","P388_Q709G","P388_Q709H","P388_Q710A","P388_Q710B","P388_Q710C","P388_Q710D","P388_Q710E","P388_Q710F","P388_Q710G","P388_Q710H","P388_Q711A","P388_Q711B","P388_Q711C","P388_Q711D","P388_Q711E","P388_Q711F","P388_Q711G","P388_Q711H","P388_Q712A","P388_Q712B","P388_Q712C","P388_Q712D","P388_Q712E","P388_Q712F","P388_Q712G","P388_Q712H"
"EGFP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00002",6621,6110,9410,8619,9187,9744,8193,8221,9536,6886,7379,6354,10911,9300,9779,7078,8713,6772,8201,8399,11229,7518,9898,8619,4448,6201,8905,8377,10036,9260,7197,6837,4395,6518,5911,7337,9389,8120,9148,9288,6006,5145,6421,5839,7872,5615,5260,7598,5890,4416,280,6447,6206,7742,679,6079,5543,4666,5680,6069,5725,4846,4718,5516,6365,6637,4832,5607,4807,5039,3804,4458,5707,6492,5251,7679,6944,5096,6280,5612,5744,4451,3977,4382,8390,6843,5495,2136,5753,4747,5721,6318,6876,5436,6551,4534
"ERCC-00003",691,142,466,604,543,740,1287,307,464,79,303,386,811,201,498,439,445,236,159,507,572,147,520,706,548,313,508,352,701,831,494,1084,180,137,464,553,0,385,817,410,209,661,609,236,228,534,554,454,96,625,0,235,227,565,7,451,240,251,536,281,272,501,137,203,689,420,380,662,473,297,155,62,169,462,422,783,129,250,375,158,363,403,460,452,312,295,195,0,261,122,427,332,1046,388,708,307
"ERCC-00004",2557,2525,4214,2990,4518,3661,4816,2921,5020,4295,3809,4169,5017,3579,4611,3016,3498,1806,3426,3915,4918,3655,2054,4479,2710,3439,3581,3483,3993,2596,2123,2818,2637,2481,2607,3380,3888,2820,3587,3246,2984,2996,2398,3388,2831,3359,2390,3018,2658,2928,0,2615,1888,3043,845,1998,2868,3417,2845,2788,2074,3859,2813,2631,1994,2686,2455,3644,2613,4188,1587,2082,2331,3188,3472,2817,3194,3204,4276,3162,2264,2448,2885,2892,4437,2324,1787,951,2222,2142,2522,1714,3219,3371,2173,1844
"ERCC-00009",75,667,200,5,501,744,478,2,467,232,163,429,266,495,256,164,422,69,505,235,279,297,2,652,126,529,111,549,37,287,154,29,398,105,520,119,342,541,852,586,379,258,316,523,334,360,336,277,196,220,3,194,20,369,0,0,59,244,119,131,82,293,140,254,317,360,177,326,135,244,225,363,89,651,149,373,412,712,450,0,449,360,101,231,306,172,351,0,340,109,601,12,566,277,250,1
"ERCC-00012",0,0,14,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00019",9,0,0,0,0,82,0,0,4,0,0,56,73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,117,0,0,0,0,0,0,0,0,0,1,34,0,0,12,0,0,51,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,53,0,0,0,0,0,82,0,0,0,0
"ERCC-00022",0,74,105,140,90,83,0,32,106,121,0,72,172,203,274,0,112,216,0,2,127,109,70,95,99,127,0,1,16,261,94,107,1,94,0,81,193,54,195,0,65,102,116,87,81,0,131,0,73,83,0,60,88,0,0,1,107,89,0,4,131,83,5,0,108,75,82,0,0,0,1,0,121,40,82,0,135,203,0,112,212,0,131,105,0,79,107,0,70,0,104,155,0,48,90,70
"ERCC-00024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00025",1,0,26,0,0,0,0,0,90,0,0,0,0,0,0,49,0,0,0,0,102,14,0,80,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,45,0,0,0,0,5,0,0,7,0,0,47,81,0,0,0,0,0,0,37,0,0,15,0,0,97,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
